name,email,phone,company,segment,total_spent,order_count,days_since_last_order,churned
User 393,user393@example.com,9372734005,Delta Retail,enterprise,829,41,848,466
User 394,user394@example.com,9753203351,Beta LLC,mid_market,77,388,963,468
User 395,user395@example.com,9590239612,Helix Labs,enterprise,604,323,278,333
User 396,user396@example.com,9923267849,Fox Industries,enterprise,594,133,555,761
User 397,user397@example.com,9782819723,Fox Industries,smb,94,821,889,471
User 398,user398@example.com,9260969417,Acme Inc,mid_market,1000,311,696,794
User 399,user399@example.com,9338216312,Delta Retail,smb,881,362,617,961
User 400,user400@example.com,9335226342,Gamma Systems,smb,227,1000,800,766
User 401,user401@example.com,9987723958,Helix Labs,mid_market,923,667,46,418
User 402,user402@example.com,9541204385,Iron Works,enterprise,540,214,573,764
User 403,user403@example.com,9063582056,Fox Industries,mid_market,931,991,640,854
User 404,user404@example.com,9437134398,Jet Logistics,smb,384,722,9,340
User 405,user405@example.com,9249173772,Acme Inc,enterprise,479,26,227,415
User 406,user406@example.com,9895156142,Jet Logistics,smb,855,276,851,784
User 407,user407@example.com,9424270518,Iron Works,mid_market,860,20,122,975
User 408,user408@example.com,9655687455,Jet Logistics,mid_market,42,476,333,629
User 409,user409@example.com,9285272423,Delta Retail,mid_market,950,510,404,807
User 410,user410@example.com,9328991046,Jet Logistics,enterprise,481,479,423,916
User 411,user411@example.com,9715505077,Jet Logistics,mid_market,85,413,143,336
User 412,user412@example.com,9888807022,Fox Industries,mid_market,190,816,412,364
User 413,user413@example.com,9132969587,Iron Works,mid_market,207,411,621,903
User 414,user414@example.com,9924524128,Acme Inc,mid_market,98,514,374,628
User 415,user415@example.com,9765412565,Beta LLC,mid_market,707,210,428,771
User 416,user416@example.com,9021680323,Echo Tech,mid_market,175,62,358,18
User 417,user417@example.com,9374303898,Fox Industries,enterprise,400,106,243,827
User 418,user418@example.com,9135231946,Acme Inc,enterprise,422,429,908,765
User 419,user419@example.com,9058106385,Acme Inc,enterprise,281,996,231,216
User 420,user420@example.com,9945257909,Green Foods,smb,879,73,255,663
User 421,user421@example.com,9682085307,Fox Industries,enterprise,69,65,84,379
User 422,user422@example.com,9869451313,Green Foods,enterprise,411,455,248,660
User 423,user423@example.com,9444671623,Acme Inc,enterprise,926,203,407,638
User 424,user424@example.com,9710720130,Fox Industries,smb,1000,326,303,939
User 425,user425@example.com,9349930505,Helix Labs,smb,187,735,951,668
User 426,user426@example.com,9104553887,Green Foods,mid_market,127,963,179,720
User 427,user427@example.com,9695380035,Gamma Systems,smb,467,344,159,107
User 428,user428@example.com,9672458894,Green Foods,smb,137,28,883,942
User 429,user429@example.com,9498113066,Fox Industries,smb,803,80,799,436
User 430,user430@example.com,9143672094,Iron Works,mid_market,541,420,45,11
User 431,user431@example.com,9139995175,Beta LLC,mid_market,930,154,843,2
User 432,user432@example.com,9582311717,Gamma Systems,enterprise,704,64,334,178
User 433,user433@example.com,9492234005,Iron Works,mid_market,62,521,784,919
User 434,user434@example.com,9733402898,Gamma Systems,smb,720,744,294,617
User 435,user435@example.com,9110905166,Iron Works,enterprise,140,770,801,577
User 436,user436@example.com,9248472178,Green Foods,enterprise,721,10,654,806
User 437,user437@example.com,9102445958,Iron Works,enterprise,212,881,135,493
User 438,user438@example.com,9325667939,Fox Industries,smb,249,969,266,397
User 439,user439@example.com,9841803129,Helix Labs,mid_market,10,822,390,732
User 440,user440@example.com,9501272717,Green Foods,mid_market,865,766,945,871
User 441,user441@example.com,9848514024,Iron Works,smb,300,380,449,497
User 442,user442@example.com,9688814189,Iron Works,enterprise,233,388,680,616
User 443,user443@example.com,9465031807,Helix Labs,smb,789,465,18,868
User 444,user444@example.com,9204632044,Echo Tech,enterprise,191,183,467,905
User 445,user445@example.com,9003169109,Echo Tech,mid_market,67,595,232,792
User 446,user446@example.com,9785323069,Fox Industries,mid_market,574,806,790,287
User 447,user447@example.com,9983299378,Delta Retail,smb,197,904,525,876
User 448,user448@example.com,9164687312,Green Foods,enterprise,900,432,768,576
User 449,user449@example.com,9396123574,Acme Inc,enterprise,182,52,121,575
User 450,user450@example.com,9418134193,Beta LLC,smb,57,562,883,321
User 451,user451@example.com,9671478508,Acme Inc,mid_market,195,635,501,720
User 452,user452@example.com,9976594845,Iron Works,smb,388,164,291,625
User 453,user453@example.com,9942342406,Echo Tech,enterprise,576,980,82,852
User 454,user454@example.com,9725131756,Fox Industries,enterprise,710,619,596,515
User 455,user455@example.com,9590535679,Green Foods,smb,70,7,787,466
User 456,user456@example.com,9482154788,Fox Industries,mid_market,787,965,771,956
User 457,user457@example.com,9605969898,Beta LLC,mid_market,919,903,493,314
User 458,user458@example.com,9963326008,Iron Works,smb,859,660,100,277
User 459,user459@example.com,9817608131,Beta LLC,mid_market,707,995,304,405
User 460,user460@example.com,9378970649,Delta Retail,mid_market,28,377,169,778
User 461,user461@example.com,9748277790,Delta Retail,smb,324,110,213,48
User 462,user462@example.com,9426085949,Delta Retail,smb,532,178,763,351
User 463,user463@example.com,9493677558,Beta LLC,mid_market,235,229,655,572
User 464,user464@example.com,9538838029,Jet Logistics,mid_market,508,268,1,874
User 465,user465@example.com,9125469319,Green Foods,smb,391,850,424,185
User 466,user466@example.com,9624759734,Beta LLC,mid_market,321,862,999,447
User 467,user467@example.com,9807771331,Acme Inc,mid_market,732,231,195,573
User 468,user468@example.com,9035308313,Acme Inc,mid_market,862,752,439,294
User 469,user469@example.com,9104202217,Delta Retail,mid_market,492,981,682,448
User 470,user470@example.com,9430812732,Green Foods,mid_market,205,227,174,353
User 471,user471@example.com,9057723407,Beta LLC,smb,427,104,904,265
User 472,user472@example.com,9291927967,Helix Labs,smb,39,456,666,497
User 473,user473@example.com,9104427096,Iron Works,smb,843,776,55,173
User 474,user474@example.com,9964990318,Echo Tech,mid_market,211,836,311,710
User 475,user475@example.com,9517292868,Gamma Systems,mid_market,798,288,185,504
User 476,user476@example.com,9448906921,Beta LLC,mid_market,292,463,280,958
User 477,user477@example.com,9305049953,Delta Retail,smb,157,631,820,786
User 478,user478@example.com,9166907916,Echo Tech,enterprise,902,407,396,981
User 479,user479@example.com,9717277183,Gamma Systems,enterprise,195,830,600,279
User 480,user480@example.com,9612803273,Green Foods,enterprise,989,637,517,785
User 481,user481@example.com,9940460529,Delta Retail,mid_market,184,460,505,283
User 482,user482@example.com,9766657955,Iron Works,mid_market,198,836,7,288
User 483,user483@example.com,9357503090,Jet Logistics,smb,666,368,416,400
User 484,user484@example.com,9123182546,Echo Tech,mid_market,77,491,727,128
User 485,user485@example.com,9898029528,Beta LLC,smb,754,474,670,987
User 486,user486@example.com,9706359185,Gamma Systems,enterprise,607,271,256,920
User 487,user487@example.com,9766132684,Acme Inc,mid_market,860,274,949,299
User 488,user488@example.com,9073246265,Beta LLC,enterprise,541,312,161,232
User 489,user489@example.com,9023612493,Acme Inc,smb,145,821,948,138
User 490,user490@example.com,9895509192,Green Foods,enterprise,561,329,275,664
User 491,user491@example.com,9604351680,Beta LLC,enterprise,871,471,931,743
User 492,user492@example.com,9622657020,Iron Works,enterprise,361,674,433,246
User 493,user493@example.com,9447733733,Iron Works,enterprise,293,613,361,360
User 494,user494@example.com,9093701727,Helix Labs,mid_market,270,934,309,802
User 495,user495@example.com,9795999520,Jet Logistics,mid_market,831,187,203,20
User 496,user496@example.com,9970831678,Green Foods,smb,517,318,584,153
User 497,user497@example.com,9942795550,Green Foods,smb,547,945,104,772
User 498,user498@example.com,9332611067,Gamma Systems,smb,827,224,548,595
User 499,user499@example.com,9807621025,Iron Works,enterprise,836,318,350,100
User 500,user500@example.com,9650758257,Jet Logistics,mid_market,83,646,310,840
User 501,user501@example.com,9348855233,Jet Logistics,mid_market,83,561,270,288
User 502,user502@example.com,9670676059,Jet Logistics,mid_market,114,823,126,661
User 503,user503@example.com,9586689839,Green Foods,smb,860,83,247,951
User 504,user504@example.com,9535415317,Jet Logistics,mid_market,479,945,980,234
User 505,user505@example.com,9574220138,Beta LLC,mid_market,938,58,999,459
User 506,user506@example.com,9741560469,Gamma Systems,enterprise,494,755,456,264
User 507,user507@example.com,9700868011,Iron Works,smb,620,105,179,894
User 508,user508@example.com,9639088240,Delta Retail,smb,267,312,433,517
User 509,user509@example.com,9150869868,Delta Retail,smb,782,515,484,913
User 510,user510@example.com,9585333758,Jet Logistics,mid_market,380,128,220,787
